,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,license,npm_url,npm_monthly_downloads,trending,new_addition,go_id,cran_id,pypi,gem_id,updated_github_id,hex_id,bitbucket_id
96,IRuby,Official gem repository: Ruby kernel for Jupyter/IPython Notebook.,https://github.com/SciRuby/iruby,,kernels,18,True,SciRuby/iruby,,,https://github.com/SciRuby/iruby,2015-03-03 18:05:50.000000,2021-03-25 08:15:44.000000,2021-03-25 06:28:42.000000,4.0,42.0,128.0,602.0,627.0,2019-09-08 08:27:43.000000,0.4.0,13.0,10.0,3.0,139.0,139.0,42.0,,,,,,2.0,rubydata/datascience-notebook,https://hub.docker.com/r/rubydata/datascience-notebook,2021-03-04 04:58:11.064228,,722.0,,MIT,,,,,,,,iruby,,,
97,jupyter-notify,A Jupyter Notebook magic for browser notifications of cell completion.,https://github.com/ShopRunner/jupyter-notify,,magic,18,False,ShopRunner/jupyter-notify,jupyternotify,,https://github.com/ShopRunner/jupyter-notify,2017-06-01 14:08:55.000000,2019-05-01 16:17:44.000000,2018-04-16 21:58:03.000000,33.0,8.0,11.0,506.0,56.0,2018-01-08 14:51:41.000000,0.1.15,,511.0,4.0,54.0,54.0,9.0,https://pypi.org/project/jupyternotify,511.0,,,,2.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
98,Code Formatter,A universal code formatter for JupyterLab.,https://github.com/ryantam626/jupyterlab_code_formatter,,lab-extensions,18,True,ryantam626/jupyterlab_code_formatter,jupyterlab_code_formatter,,https://github.com/ryantam626/jupyterlab_code_formatter,2018-08-12 20:50:17.000000,2021-03-21 14:25:47.000000,2021-03-14 12:04:38.000000,34.0,15.0,108.0,413.0,336.0,,,,17585.0,,,,29.0,https://pypi.org/project/jupyterlab_code_formatter,5051.0,,,,2.0,,,,,,@ryantam626/jupyterlab_code_formatter,MIT,https://www.npmjs.com/package/@ryantam626/jupyterlab_code_formatter,12534.0,,,,,,,,,
99,nb_conda_kernels,Package for managing conda environment-based kernels inside of Jupyter.,https://github.com/Anaconda-Platform/nb_conda_kernels,,kernels,18,True,Anaconda-Platform/nb_conda_kernels,,conda-forge/nb_conda_kernels,https://github.com/Anaconda-Platform/nb_conda_kernels,2015-12-10 16:11:42.000000,2021-01-30 00:58:02.504000,2020-11-30 15:55:07.000000,50.0,24.0,95.0,363.0,335.0,2020-09-05 22:35:32.000000,2.3.0,,6915.0,11.0,,,14.0,,,https://anaconda.org/conda-forge/nb_conda_kernels,2021-01-30 00:58:02.504000,394186.0,2.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
100,itkwidgets,"Interactive Jupyter widgets to visualize images, point sets, and meshes in 2D and 3D.",https://github.com/InsightSoftwareConsortium/itkwidgets,,widgets,18,True,InsightSoftwareConsortium/itkwidgets,itkwidgets,,https://github.com/InsightSoftwareConsortium/itkwidgets,2018-02-15 01:43:39.000000,2021-03-12 22:24:22.000000,2021-03-12 22:24:14.000000,44.0,65.0,93.0,340.0,824.0,2020-08-06 14:42:28.000000,0.32.0,50.0,5058.0,12.0,,,17.0,https://pypi.org/project/itkwidgets,2672.0,,,,3.0,,,,,,itkwidgets,Apache-2.0,https://www.npmjs.com/package/itkwidgets,2383.0,,,,,,,,,
101,JupyterLab Google Drive,Cloud storage for JupyterLab using Google Drive.,https://github.com/jupyterlab/jupyterlab-google-drive,,lab-extensions,18,True,jupyterlab/jupyterlab-google-drive,,,https://github.com/jupyterlab/jupyterlab-google-drive,2016-12-17 01:40:45.000000,2021-03-09 02:37:04.000000,2020-06-22 15:55:30.000000,58.0,27.0,65.0,333.0,511.0,2018-02-05 18:54:22.000000,0.11.1,,4856.0,12.0,2.0,2.0,13.0,,,,,,2.0,,,,,,@jupyterlab/google-drive,BSD-3-Clause,https://www.npmjs.com/package/@jupyterlab/google-drive,4856.0,,,,,,,,,
102,vega,IPython/Jupyter notebook module for Vega and Vega-Lite.,https://github.com/vega/ipyvega,,widgets,18,True,vega/ipyvega,vega,conda-forge/vega,https://github.com/vega/ipyvega,2015-08-04 03:22:47.000000,2021-03-19 21:48:14.000000,2021-03-19 21:48:13.000000,41.0,7.0,79.0,298.0,486.0,,,,14656.0,25.0,,,9.0,https://pypi.org/project/vega,7662.0,https://anaconda.org/conda-forge/vega,2020-12-10 15:03:57.175000,398677.0,3.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
103,JupyterLab GitHub,GitHub integration for JupyterLab.,https://github.com/jupyterlab/jupyterlab-github,,lab-extensions,18,True,jupyterlab/jupyterlab-github,jupyterlab-github,,https://github.com/jupyterlab/jupyterlab-github,2017-10-15 17:18:11.000000,2021-02-26 16:38:32.000000,2020-03-04 03:38:48.000000,65.0,23.0,34.0,275.0,192.0,2018-04-23 05:09:22.000000,0.7.1,,3273.0,5.0,2.0,2.0,12.0,https://pypi.org/project/jupyterlab-github,369.0,,,,2.0,,,,,,@jupyterlab/github,BSD-3-Clause,https://www.npmjs.com/package/@jupyterlab/github,2904.0,,,,,,,,,
104,tributary,Streaming reactive and dataflow graphs in Python.,https://github.com/timkpaine/tributary,,widgets,18,True,timkpaine/tributary,tributary,conda-forge/tributary,https://github.com/timkpaine/tributary,2018-09-08 02:58:57.000000,2021-03-23 03:29:13.000000,2021-03-23 03:29:09.000000,23.0,10.0,66.0,233.0,,2021-02-27 04:59:39.000000,0.1.5,,1021.0,12.0,14.0,14.0,6.0,https://pypi.org/project/tributary,139.0,https://anaconda.org/conda-forge/tributary,2020-10-15 18:24:08.479000,7943.0,3.0,,,,,,,Apache-2.0,,,,,,,,,,,
105,JupyterLab Templates,Support for jupyter notebook templates in jupyterlab.,https://github.com/jpmorganchase/jupyterlab_templates,,lab-extensions,18,True,jpmorganchase/jupyterlab_templates,jupyterlab_templates,,https://github.com/jpmorganchase/jupyterlab_templates,2018-03-17 21:38:11.000000,2021-02-15 04:10:57.000000,2021-02-15 04:10:53.000000,35.0,5.0,64.0,223.0,,2021-01-08 04:49:04.000000,0.3.0,,6696.0,12.0,4.0,4.0,12.0,https://pypi.org/project/jupyterlab_templates,2053.0,,,,2.0,,,,,,jupyterlab_templates,Apache-2.0,https://www.npmjs.com/package/jupyterlab_templates,4643.0,,,,,,,,,
106,dask-labextension,JupyterLab extension for Dask.,https://github.com/dask/dask-labextension,,lab-extensions,18,True,dask/dask-labextension,dask-labextension,conda-forge/dask-labextension,https://github.com/dask/dask-labextension,2016-09-26 19:01:37.000000,2021-03-22 10:18:53.000000,2021-03-22 10:18:50.000000,35.0,25.0,75.0,211.0,,2021-01-13 01:08:46.000000,5.0.0,,29414.0,13.0,,,17.0,https://pypi.org/project/dask-labextension,2447.0,https://anaconda.org/conda-forge/dask-labextension,2021-03-03 15:52:21.078000,225428.0,2.0,,,,,,dask-labextension,BSD-3-Clause,https://www.npmjs.com/package/dask-labextension,16233.0,,,,,,,,,
107,JupyterLab SideCar,A sidecar output widget for JupyterLab.,https://github.com/jupyter-widgets/jupyterlab-sidecar,,lab-extensions,18,True,jupyter-widgets/jupyterlab-sidecar,sidecar,,https://github.com/jupyter-widgets/jupyterlab-sidecar,2018-03-26 09:23:58.000000,2021-03-21 14:29:54.000000,2021-03-11 01:31:03.000000,31.0,18.0,10.0,172.0,49.0,2021-03-11 01:34:17.000000,0.5.1,,3226.0,1.0,3.0,3.0,11.0,https://pypi.org/project/sidecar,1058.0,,,,2.0,,,,,,@jupyter-widgets/jupyterlab-sidecar,BSD-3-Clause,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-sidecar,2168.0,,,,,,,,,
108,ipywebrtc,WebRTC for Jupyter notebook/lab.,https://github.com/maartenbreddels/ipywebrtc,,widgets,18,True,maartenbreddels/ipywebrtc,ipywebrtc,conda-forge/ipywebrtc,https://github.com/maartenbreddels/ipywebrtc,2017-08-10 18:07:51.000000,2021-03-08 20:46:37.000000,2020-07-16 08:00:16.000000,28.0,24.0,20.0,171.0,206.0,,,,10613.0,7.0,,,9.0,https://pypi.org/project/ipywebrtc,5475.0,https://anaconda.org/conda-forge/ipywebrtc,2020-10-15 16:10:33.776000,178581.0,3.0,,,,,,jupyter-webrtc,MIT,https://www.npmjs.com/package/jupyter-webrtc,985.0,,,,,,,,,
109,SAS Kernel,A Jupyter kernel for SAS. This opens up all the data manipulation and analytics capabilities of your SAS system within..,https://github.com/sassoftware/sas_kernel,,kernels,18,True,sassoftware/sas_kernel,sas_kernel,,https://github.com/sassoftware/sas_kernel,2016-04-01 16:19:50.000000,2021-03-24 18:37:55.000000,2021-03-24 18:25:13.000000,66.0,3.0,48.0,163.0,213.0,2021-03-24 18:37:55.000000,2.4.3,,213.0,9.0,,,7.0,https://pypi.org/project/sas_kernel,213.0,,,,2.0,,,,,,,Apache-2.0,,,2.0,,,,,,,,
110,ipyvue,Jupyter widgets base for Vue libraries.,https://github.com/mariobuikhuizen/ipyvue,,widgets,18,True,mariobuikhuizen/ipyvue,ipyvue,conda-forge/ipyvue,https://github.com/mariobuikhuizen/ipyvue,2019-08-11 10:10:05.000000,2021-03-09 14:41:28.000000,2021-01-12 14:56:07.000000,5.0,1.0,1.0,26.0,64.0,2021-01-15 09:49:03.000000,1.5.0,,8748.0,15.0,16.0,16.0,2.0,https://pypi.org/project/ipyvue,7651.0,https://anaconda.org/conda-forge/ipyvue,2021-01-13 12:18:25.912000,20859.0,3.0,,,,,,,MIT,,,,,,,,,,,
111,ipydatawidgets,A set of widgets to help facilitate reuse of large datasets across widgets.,https://github.com/vidartf/ipydatawidgets,,widgets,18,False,vidartf/ipydatawidgets,ipydatawidgets,conda-forge/ipydatawidgets,https://github.com/vidartf/ipydatawidgets,2017-07-31 17:37:26.000000,2021-01-06 10:43:12.012000,2021-01-04 10:18:53.000000,6.0,3.0,5.0,24.0,266.0,,,,11968.0,6.0,265.0,265.0,5.0,https://pypi.org/project/ipydatawidgets,9606.0,https://anaconda.org/conda-forge/ipydatawidgets,2021-01-06 10:43:12.012000,77969.0,3.0,,,,,,,,,,,,,,,,,,
112,ipydagred3,ipywidgets library for drawing directed acyclic graphs in jupyterlab using dagre-d3.,https://github.com/timkpaine/ipydagred3,,widgets,18,False,timkpaine/ipydagred3,ipydagred3,,https://github.com/timkpaine/ipydagred3,2020-02-29 23:01:15.000000,2021-03-10 19:36:01.000000,2021-03-10 19:35:52.000000,5.0,4.0,13.0,22.0,,2020-12-31 23:04:43.000000,0.3.0,,174521.0,9.0,7.0,7.0,3.0,https://pypi.org/project/ipydagred3,550.0,,,,3.0,,,,,,@jupyter-widgets/jupyterlab-manager,Apache-2.0,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,173971.0,,,,,,,,,
113,pyforest,pyforest - feel the bliss of automated imports.,https://github.com/8080labs/pyforest,,jupyter-extensions,17,True,8080labs/pyforest,pyforest,,https://github.com/8080labs/pyforest,2019-08-12 07:35:46.000000,2020-08-24 06:43:31.000000,2020-08-18 05:47:40.000000,161.0,7.0,11.0,825.0,183.0,2019-09-02 14:01:33.000000,0.1.2,,3309.0,1.0,,,13.0,https://pypi.org/project/pyforest,3309.0,,,,2.0,,,,,,,MIT,,,,,,,,,,,
114,NBextensions Configurator,A jupyter notebook serverextension providing config interfaces for nbextensions.,https://github.com/Jupyter-contrib/jupyter_nbextensions_configurator,,jupyter-extensions,17,False,jupyter-contrib/jupyter_nbextensions_configurator,jupyter_nbextensions_configurator,,https://github.com/Jupyter-contrib/jupyter_nbextensions_configurator,2016-06-24 22:29:05.000000,2021-01-11 10:02:27.000000,2020-03-01 13:46:17.000000,91.0,46.0,31.0,815.0,488.0,2018-12-29 10:52:13.000000,0.4.1,,89052.0,1.0,,,17.0,https://pypi.org/project/jupyter_nbextensions_configurator,89052.0,,,,2.0,,,,,,,,,,,,,,,,,,
115,Ansible Kernel,Jupyter Notebook Kernel for running Ansible Tasks and Playbooks.,https://github.com/ansible/ansible-jupyter-kernel,,kernels,17,True,ansible/ansible-jupyter-kernel,ansible-kernel,conda-forge/ansible-kernel,https://github.com/ansible/ansible-jupyter-kernel,2018-06-26 14:28:02.000000,2021-03-05 18:39:25.000000,2021-03-05 18:39:24.000000,45.0,11.0,29.0,458.0,208.0,,,,2448.0,1.0,7.0,7.0,9.0,https://pypi.org/project/ansible-kernel,138.0,https://anaconda.org/conda-forge/ansible-kernel,2020-01-14 12:34:24.230000,6312.0,2.0,benthomasson/ansible-jupyter-kernel,https://hub.docker.com/r/benthomasson/ansible-jupyter-kernel,2018-12-12 18:42:31.528778,2.0,66341.0,,Apache-2.0,,,,,,,,,,,
116,pivottablejs,"Dragndrop Pivot Tables and Charts for Jupyter/IPython Notebook, care of PivotTable.js.",https://github.com/nicolaskruchten/jupyter_pivottablejs,,widgets,17,False,nicolaskruchten/jupyter_pivottablejs,pivottablejs,,https://github.com/nicolaskruchten/jupyter_pivottablejs,2015-09-09 13:39:18.000000,2018-12-04 14:43:26.000000,2018-12-04 14:43:25.000000,58.0,16.0,37.0,429.0,32.0,2018-01-15 18:11:51.000000,0.9.0,,4343.0,8.0,152.0,152.0,3.0,https://pypi.org/project/pivottablejs,4343.0,,,,3.0,,,,,,,,,,,,,,,,,,
117,Enterprise Gateway,"A lightweight, multi-tenant, scalable and secure gateway that enables Jupyter Notebooks to share resources across..",https://github.com/jupyter/enterprise_gateway,,kernels,17,False,jupyter/enterprise_gateway,jupyter_enterprise_gateway,,https://github.com/jupyter/enterprise_gateway,2017-04-21 16:05:14.000000,2021-03-25 17:37:38.000000,2021-03-25 17:37:38.000000,131.0,78.0,382.0,417.0,1081.0,2021-02-16 22:52:25.000000,2.5.0,8910.0,445.0,26.0,,,76.0,https://pypi.org/project/jupyter_enterprise_gateway,228.0,,,,2.0,,,,,,,,,,,,,,,,,,
118,Octave Kernel,An Octave kernel for IPython.,https://github.com/Calysto/octave_kernel,,kernels,17,True,calysto/octave_kernel,octave_kernel,,https://github.com/Calysto/octave_kernel,2014-07-31 01:59:06.000000,2020-05-23 09:47:50.000000,2020-05-23 09:47:43.000000,53.0,25.0,129.0,362.0,347.0,2017-10-09 17:56:29.000000,0.28.0,,3939.0,2.0,,,16.0,https://pypi.org/project/octave_kernel,3939.0,,,,2.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
119,commuter,Notebook sharing hub.,https://github.com/nteract/commuter,,notebook-sharing,17,True,nteract/commuter,,,https://github.com/nteract/commuter,2017-01-03 22:23:32.000000,2021-03-09 16:48:36.000000,2021-03-09 16:48:22.000000,58.0,46.0,38.0,354.0,612.0,,,,278.0,,3.0,3.0,27.0,,,,,,3.0,,,,,,@nteract/commuter,BSD-3-Clause,https://www.npmjs.com/package/@nteract/commuter,278.0,,,,,,,,,
120,scrapbook,A library for recording and reading data in notebooks.,https://github.com/nteract/scrapbook,,notebook-sharing,17,True,nteract/scrapbook,nteract-scrapbook,,https://github.com/nteract/scrapbook,2018-10-22 04:17:04.000000,2021-03-16 05:27:29.000000,2021-03-16 05:27:29.000000,21.0,24.0,22.0,207.0,,,,,34980.0,,16.0,16.0,11.0,https://pypi.org/project/nteract-scrapbook,34980.0,,,,3.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
121,OCaml Kernel,An OCaml kernel for Jupyter (IPython) notebook.,https://github.com/akabe/ocaml-jupyter,,kernels,17,True,akabe/ocaml-jupyter,,,https://github.com/akabe/ocaml-jupyter,2017-07-14 14:15:05.000000,2021-03-13 13:56:06.000000,2021-02-28 07:58:28.000000,25.0,4.0,62.0,177.0,306.0,2020-09-19 13:42:33.000000,2.7.3,42882.0,974.0,25.0,,,14.0,,,,,,2.0,,,,,,,MIT,,,,,,,,,,,
122,SciJava Kernel,Write SciJava scripts in Jupyter notebook!.,https://github.com/scijava/scijava-jupyter-kernel,,kernels,17,False,scijava/scijava-jupyter-kernel,,conda-forge/scijava-jupyter-kernel,https://github.com/scijava/scijava-jupyter-kernel,2017-01-31 01:16:24.000000,2019-08-27 12:36:47.000000,2019-08-27 12:36:11.000000,38.0,10.0,69.0,167.0,393.0,2017-06-02 21:19:27.000000,0.5.0,66.0,1395.0,15.0,,,8.0,,,https://anaconda.org/conda-forge/scijava-jupyter-kernel,2018-03-03 15:23:41.430000,65559.0,2.0,,,,,,,Apache-2.0,,,,,,,,,,,
123,JupyterLab System Monitor,JupyterLab extension to display system metrics.,https://github.com/jtpio/jupyterlab-system-monitor,,lab-extensions,17,True,jtpio/jupyterlab-system-monitor,,,https://github.com/jtpio/jupyterlab-system-monitor,2019-07-13 12:31:51.000000,2021-03-01 08:26:44.000000,2021-03-01 08:26:42.000000,19.0,11.0,16.0,155.0,,2021-02-04 22:39:49.000000,0.8.0,,8655.0,2.0,2.0,2.0,5.0,,,,,,2.0,,,,,,jupyterlab-system-monitor,BSD-3-Clause,https://www.npmjs.com/package/jupyterlab-system-monitor,8655.0,,,,,,,,,
124,ML Hub,Multi-user development platform for machine learning teams. Simple to setup within minutes.,https://github.com/ml-tooling/ml-hub,,notebook-environments,17,True,ml-tooling/ml-hub,,,https://github.com/ml-tooling/ml-hub,2019-06-26 15:05:50.000000,2020-10-19 09:31:37.000000,2020-10-02 15:10:06.000000,33.0,11.0,7.0,154.0,217.0,2020-02-03 15:59:07.000000,1.0.0,849.0,2003.0,8.0,,,5.0,,,,,,3.0,mltooling/ml-hub,https://hub.docker.com/r/mltooling/ml-hub,2020-02-18 09:26:53.302538,5.0,41096.0,,Apache-2.0,,,,,,,,,,,
125,Spark Monitor,Monitor Apache Spark from Jupyter Notebook.,https://github.com/krishnan-r/sparkmonitor,,jupyter-extensions,17,True,krishnan-r/sparkmonitor,sparkmonitor,,https://github.com/krishnan-r/sparkmonitor,2017-05-31 09:13:01.000000,2021-02-03 03:28:03.000000,2021-02-03 03:28:02.000000,45.0,15.0,7.0,154.0,214.0,2018-05-29 18:46:14.000000,0.0.9,2336.0,378.0,9.0,,,3.0,https://pypi.org/project/sparkmonitor,307.0,,,,2.0,krishnanr/sparkmonitor,https://hub.docker.com/r/krishnanr/sparkmonitor,2019-10-04 06:28:22.959295,,857.0,,Apache-2.0,,,,,,,,,,,
126,nbmake-action,GitHub Action for testing notebooks.,https://github.com/treebeardtech/nbmake-action,,notebook-tools,17,True,treebeardtech/nbmake-action,,,https://github.com/treebeardtech/nbmake-action,2020-02-06 15:49:32.000000,2021-02-04 09:13:06.000000,2021-02-04 09:12:56.000000,6.0,,24.0,151.0,731.0,2020-12-11 15:26:11.000000,0.2.1,,,5.0,59.0,59.0,2.0,,,,,,3.0,,,,,,,Apache-2.0,,,,,,,,,,,
127,gator,Conda environment and package management extension from within Jupyter.,https://github.com/mamba-org/gator,,jupyter-extensions,17,True,mamba-org/gator,,conda-forge/mamba_gator,https://github.com/mamba-org/gator,2018-08-02 05:15:23.000000,2021-03-03 20:13:14.248000,2021-03-03 19:38:25.000000,15.0,12.0,31.0,143.0,573.0,2021-03-01 07:42:08.000000,npm@3.0.0-post1,1.0,1680.0,22.0,1.0,1.0,23.0,,,https://anaconda.org/conda-forge/mamba_gator,2021-03-03 20:13:14.248000,3570.0,2.0,,,,,,@mamba-org/gator-lab,BSD-3-Clause,https://www.npmjs.com/package/@mamba-org/gator-lab,788.0,,,,,,,,,
128,Spylon Kernel,Jupyter kernel for scala and spark.,https://github.com/Valassis-Digital-Media/spylon-kernel,,kernels,17,False,Valassis-Digital-Media/spylon-kernel,spylon-kernel,conda-forge/spylon-kernel,https://github.com/Valassis-Digital-Media/spylon-kernel,2016-11-21 02:23:14.000000,2018-10-05 21:02:27.447000,2018-09-20 15:43:57.000000,22.0,16.0,17.0,129.0,188.0,2017-03-05 04:26:44.000000,0.2.0,,2910.0,8.0,55.0,55.0,6.0,https://pypi.org/project/spylon-kernel,1609.0,https://anaconda.org/conda-forge/spylon-kernel,2018-10-05 21:02:27.447000,63794.0,2.0,,,,,,,,,,,,,,,,,,
129,sphinxcontrib.jupyter,A Sphinx Extension for Generating Jupyter Notebooks.,https://github.com/QuantEcon/sphinxcontrib-jupyter,,notebook-tools,17,True,QuantEcon/sphinxcontrib-jupyter,sphinxcontrib-jupyter,,https://github.com/QuantEcon/sphinxcontrib-jupyter,2017-10-12 04:04:05.000000,2021-01-06 00:21:33.000000,2020-06-18 03:28:01.000000,22.0,86.0,93.0,67.0,269.0,2020-06-18 03:30:24.000000,0.5.10,,138.0,17.0,21.0,21.0,13.0,https://pypi.org/project/sphinxcontrib-jupyter,138.0,,,,3.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
130,LTI Authenticator,A JupyterHub authenticator for LTI.,https://github.com/jupyterhub/ltiauthenticator,,hub-auth,17,True,jupyterhub/ltiauthenticator,jupyterhub-ltiauthenticator,,https://github.com/jupyterhub/ltiauthenticator,2017-12-15 02:54:15.000000,2021-03-14 17:40:49.000000,2021-01-26 09:17:27.000000,29.0,6.0,13.0,38.0,73.0,2018-08-01 22:05:38.000000,0.3,,1400.0,1.0,52.0,52.0,7.0,https://pypi.org/project/jupyterhub-ltiauthenticator,1400.0,,,,2.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
131,Native Authenticator,JupyterHub-native user authenticator.,https://github.com/jupyterhub/nativeauthenticator,,hub-auth,17,True,jupyterhub/nativeauthenticator,jupyterhub-nativeauthenticator,,https://github.com/jupyterhub/nativeauthenticator,2018-12-03 17:38:18.000000,2021-03-09 15:38:22.000000,2021-01-31 12:16:42.000000,40.0,20.0,40.0,36.0,262.0,,,,1918.0,,19.0,19.0,16.0,https://pypi.org/project/jupyterhub-nativeauthenticator,1918.0,,,,2.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
132,ipyscales,A widget library for scales.,https://github.com/vidartf/ipyscales,,widgets,17,False,vidartf/ipyscales,ipyscales,conda-forge/ipyscales,https://github.com/vidartf/ipyscales,2017-08-24 20:16:19.000000,2021-01-06 10:53:16.793000,2021-01-05 12:56:43.000000,3.0,,4.0,12.0,172.0,,,,1471.0,7.0,45.0,45.0,4.0,https://pypi.org/project/ipyscales,45.0,https://anaconda.org/conda-forge/ipyscales,2021-01-06 10:53:16.793000,47071.0,3.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
133,JupyterLab Vim,Vim notebook cell bindings for JupyterLab.,https://github.com/jwkvam/jupyterlab-vim,,lab-extensions,16,False,jwkvam/jupyterlab-vim,,,https://github.com/jwkvam/jupyterlab-vim,2017-12-02 21:16:38.000000,2020-06-24 20:08:48.000000,2019-07-16 04:37:36.000000,68.0,50.0,40.0,843.0,60.0,2019-07-16 04:33:54.000000,0.11.0,,902.0,14.0,3.0,3.0,8.0,,,,,,2.0,,,,,,jupyterlab_vim,MIT,https://www.npmjs.com/package/jupyterlab_vim,902.0,,,,,,,,,
134,clojupyter,a Jupyter kernel for Clojure.,https://github.com/clojupyter/clojupyter,,kernels,16,True,clojupyter/clojupyter,,simplect/clojupyter,https://github.com/clojupyter/clojupyter,2014-05-09 07:09:06.000000,2021-01-25 02:00:25.000000,2021-01-25 02:00:24.000000,72.0,16.0,68.0,677.0,259.0,,,,104.0,7.0,,,23.0,,,https://anaconda.org/simplect/clojupyter,2020-03-02 14:14:22.302000,2039.0,3.0,simplect/clojupyter,https://hub.docker.com/r/simplect/clojupyter,2019-04-25 08:25:07.304303,,274.0,,MIT,,,,,,,,,,,
135,IJava,A Jupyter kernel for executing Java code.,https://github.com/SpencerPark/IJava,,kernels,16,False,SpencerPark/IJava,,,https://github.com/SpencerPark/IJava,2017-10-08 04:42:46.000000,2020-09-28 07:59:11.000000,2019-12-08 22:22:20.000000,116.0,56.0,55.0,618.0,90.0,2019-05-06 03:28:50.000000,1.3.0,45543.0,1380.0,5.0,,,4.0,,,,,,3.0,,,,,,,MIT,,,,,,,,,,,
136,F# Kernel,F# for Jupyter Notebooks.,https://github.com/fsprojects/IfSharp,,kernels,16,True,fsprojects/IfSharp,,,https://github.com/fsprojects/IfSharp,2013-12-03 21:25:01.000000,2020-09-10 16:17:07.000000,2020-09-10 16:17:02.000000,68.0,13.0,126.0,425.0,335.0,2020-03-08 20:03:38.000000,3.0.4,5161.0,65.0,15.0,,,27.0,,,,,,3.0,fsprojects/ifsharp,https://hub.docker.com/r/fsprojects/ifsharp,2019-03-26 17:01:42.996172,,519.0,,BSD-3-Clause,,,,,,,,,,,
137,JupyterLab Latex,JupyterLab extension for live editing of LaTeX documents.,https://github.com/jupyterlab/jupyterlab-latex,,lab-renderer,16,True,jupyterlab/jupyterlab-latex,jupyterlab_latex,,https://github.com/jupyterlab/jupyterlab-latex,2017-10-24 02:12:37.000000,2021-02-02 21:32:07.000000,2021-02-02 21:32:06.000000,44.0,42.0,30.0,350.0,322.0,,,,4187.0,,2.0,2.0,17.0,https://pypi.org/project/jupyterlab_latex,513.0,,,,2.0,,,,,,@jupyterlab/latex,BSD-3-Clause,https://www.npmjs.com/package/@jupyterlab/latex,3674.0,,,,,,,,,
138,Kernel Gateway,Jupyter Kernel Gateway.,https://github.com/jupyter/kernel_gateway,,kernels,16,False,jupyter/kernel_gateway,jupyter-kernel-gateway,,https://github.com/jupyter/kernel_gateway,2015-09-21 15:34:11.000000,2020-09-29 21:19:31.000000,2020-09-29 21:19:30.000000,97.0,12.0,149.0,338.0,537.0,2020-08-18 18:00:44.000000,2.4.3,76.0,3693.0,7.0,,,36.0,https://pypi.org/project/jupyter-kernel-gateway,3691.0,,,,3.0,,,,,,,,,,,,,,,,,,
139,Lantern,Data exploration glue.,https://github.com/timkpaine/lantern,,lab-extensions,16,True,timkpaine/lantern,pylantern,,https://github.com/timkpaine/lantern,2017-07-15 03:49:10.000000,2021-02-27 21:52:34.000000,2021-02-27 21:52:33.000000,19.0,9.0,188.0,292.0,495.0,2020-02-02 22:32:28.000000,0.1.6,,46.0,26.0,14.0,14.0,2.0,https://pypi.org/project/pylantern,46.0,,,,2.0,,,,,,,Apache-2.0,,,,,,,,,,,
140,VSCode Jupyter,VS Code Jupyter extension.,https://github.com/microsoft/vscode-jupyter,,notebook-environments,16,False,microsoft/vscode-jupyter,,,https://github.com/microsoft/vscode-jupyter,2020-09-10 23:39:14.000000,2021-03-26 02:43:02.000000,2021-03-26 02:06:51.000000,42.0,884.0,3694.0,229.0,,2021-03-24 21:31:23.000000,2021.3.1,,,8.0,12.0,12.0,227.0,,,,,,3.0,,,,,,,,,,,True,,,,,,,
141,ThebeLab,ThebeLab: turning static HTML pages into live documents.,https://github.com/executablebooks/thebe,,notebook-sharing,16,True,executablebooks/thebe,,,https://github.com/executablebooks/thebe,2017-03-14 12:17:22.000000,2021-03-22 09:31:14.000000,2021-03-01 09:13:56.000000,46.0,59.0,54.0,206.0,502.0,2020-12-23 10:50:03.000000,0.6.0,,,1.0,,,23.0,,,,,,3.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
