,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,license,npm_url,npm_monthly_downloads,trending,new_addition,go_id,cran_id,pypi,gem_id,updated_github_id,hex_id,bitbucket_id
64,Appmode,A Jupyter extensions that turns notebooks into web applications.,https://github.com/oschuett/appmode,,jupyter-extensions,21,True,oschuett/appmode,appmode,conda-forge/appmode,https://github.com/oschuett/appmode,2017-03-17 13:33:53.000000,2021-01-24 17:12:41.412000,2020-06-09 08:15:17.000000,59.0,3.0,48.0,360.0,95.0,2020-06-09 08:17:47.000000,0.8.0,,3908.0,8.0,252.0,252.0,8.0,https://pypi.org/project/appmode,1242.0,https://anaconda.org/conda-forge/appmode,2021-01-24 17:12:41.412000,106672.0,1.0,,,,,,,MIT,,,,,,,,,,,
65,KubeSpawner,Kubernetes spawner for JupyterHub.,https://github.com/jupyterhub/kubespawner,,hub-spawners,21,True,jupyterhub/kubespawner,jupyterhub-kubespawner,,https://github.com/jupyterhub/kubespawner,2015-11-21 07:02:52.000000,2021-03-14 09:12:04.000000,2021-03-14 09:12:04.000000,206.0,42.0,205.0,353.0,911.0,,,,3697.0,,83.0,83.0,61.0,https://pypi.org/project/jupyterhub-kubespawner,3697.0,,,,2.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
66,Resource Usage,Jupyter Notebook Extension for monitoring your own Resource Usage.,https://github.com/jupyter-server/jupyter-resource-usage,,jupyter-extensions,21,True,jupyter-server/jupyter-resource-usage,jupyter-resource-usage,conda-forge/nbresuse,https://github.com/jupyter-server/jupyter-resource-usage,2016-04-22 07:01:34.000000,2021-03-22 07:17:55.000000,2021-03-22 07:17:52.000000,53.0,25.0,24.0,223.0,138.0,2020-12-18 20:29:35.000000,0.5.1,,21617.0,4.0,17.0,17.0,14.0,https://pypi.org/project/jupyter-resource-usage,2845.0,https://anaconda.org/conda-forge/nbresuse,2020-11-23 11:22:25.946000,225264.0,1.0,,,,,,,BSD-2-Clause,,,,,,,,,,,
67,sos,SoS workflow system for daily data analysis.,https://github.com/vatlab/sos,,notebook-environments,21,True,vatlab/SOS,,,https://github.com/vatlab/sos,2016-02-13 00:46:46.000000,2021-02-26 19:51:47.000000,2021-02-26 19:51:31.000000,25.0,49.0,1353.0,197.0,7498.0,2019-05-21 01:06:30.000000,0.9.11,,,51.0,522.0,522.0,33.0,,,,,,3.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
68,ipyvuetify,Jupyter widgets based on vuetify UI components.,https://github.com/mariobuikhuizen/ipyvuetify,,widgets,21,True,mariobuikhuizen/ipyvuetify,ipyvuetify,conda-forge/ipyvuetify,https://github.com/mariobuikhuizen/ipyvuetify,2019-05-14 17:35:51.000000,2021-03-09 03:39:56.000000,2021-02-22 17:03:17.000000,25.0,43.0,61.0,185.0,192.0,2021-01-15 09:50:46.000000,1.6.1,,9912.0,24.0,4.0,4.0,10.0,https://pypi.org/project/ipyvuetify,7968.0,https://anaconda.org/conda-forge/ipyvuetify,2021-02-22 19:18:07.995000,38887.0,2.0,,,,,,,MIT,,,,,,,,,,,
69,LDAP Authenticator,LDAP Authenticator Plugin for Jupyter.,https://github.com/jupyterhub/ldapauthenticator,,hub-auth,21,True,jupyterhub/ldapauthenticator,jupyterhub-ldapauthenticator,conda-forge/jupyterhub-ldapauthenticator,https://github.com/jupyterhub/ldapauthenticator,2016-01-17 05:11:49.000000,2021-01-26 18:12:18.000000,2020-12-14 10:15:47.000000,134.0,50.0,74.0,145.0,162.0,2018-06-14 12:02:35.000000,1.2.2,,4595.0,3.0,65.0,65.0,28.0,https://pypi.org/project/jupyterhub-ldapauthenticator,4060.0,https://anaconda.org/conda-forge/jupyterhub-ldapauthenticator,2020-08-28 14:10:52.507000,17656.0,1.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
70,ipycytoscape,A Cytoscape Jupyter widget.,https://github.com/QuantStack/ipycytoscape,,widgets,21,True,QuantStack/ipycytoscape,,conda-forge/ipycytoscape,https://github.com/QuantStack/ipycytoscape,2020-02-05 13:46:52.000000,2021-03-25 13:18:27.000000,2021-03-18 02:58:49.000000,38.0,53.0,65.0,130.0,530.0,2021-01-05 04:00:14.000000,1.2.0,2.0,1176.0,15.0,27.0,27.0,25.0,,,https://anaconda.org/conda-forge/ipycytoscape,2021-01-05 07:41:06.454000,14110.0,2.0,,,,,,,BSD-3-Clause,,,1.0,,,,,,,,
71,nbgitpuller,Jupyter server extension to sync a git repository one-way to a local path.,https://github.com/jupyterhub/nbgitpuller,,jupyter-extensions,21,True,jupyterhub/nbgitpuller,nbgitpuller,conda-forge/nbgitpuller,https://github.com/jupyterhub/nbgitpuller,2017-05-24 19:41:10.000000,2021-03-21 21:13:55.000000,2021-03-21 21:13:22.000000,46.0,30.0,56.0,126.0,340.0,,,,18087.0,6.0,280.0,280.0,20.0,https://pypi.org/project/nbgitpuller,17348.0,https://anaconda.org/conda-forge/nbgitpuller,2020-08-01 13:34:29.631000,15520.0,1.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
72,Hydrogen,"Run code interactively, inspect data, and plot. All the power of Jupyter kernels, inside your favorite text editor.",https://github.com/nteract/hydrogen,,notebook-environments,20,True,nteract/hydrogen,,,https://github.com/nteract/hydrogen,2015-05-11 01:16:55.000000,2021-03-19 14:38:01.000000,2021-02-10 10:56:55.000000,285.0,146.0,1049.0,3685.0,2168.0,2021-02-01 02:10:26.000000,2.14.7,,,82.0,,,85.0,,,,,,3.0,,,,,,,MIT,,,,,,,,,,,
73,ML Workspace,All-in-one web-based IDE specialized for machine learning and data science.,https://github.com/ml-tooling/ml-workspace,,notebook-environments,20,True,ml-tooling/ml-workspace,,,https://github.com/ml-tooling/ml-workspace,2019-05-27 16:55:15.000000,2021-03-25 22:55:56.000000,2021-01-15 13:13:35.000000,221.0,8.0,50.0,1833.0,,2021-01-11 00:36:32.000000,0.12.1,,17065.0,3.0,,,9.0,,,,,,3.0,mltooling/ml-workspace,https://hub.docker.com/r/mltooling/ml-workspace,2021-01-11 00:11:14.480525,16.0,375439.0,,Apache-2.0,,,,,,,,,,,
