,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,license,npm_url,npm_monthly_downloads,new_addition,trending,go_id,cran_id,updated_github_id,pypi,gem_id,hex_id,bitbucket_id
144,VSCode Jupyter,VS Code Jupyter extension.,https://github.com/microsoft/vscode-jupyter,,notebook-environments,16,False,microsoft/vscode-jupyter,,,https://github.com/microsoft/vscode-jupyter,2020-09-10 23:39:14.000000,2021-04-22 07:00:57.000000,2021-04-22 00:20:21.000000,47.0,954.0,3821.0,257.0,,2021-04-13 16:05:25.000000,2021.5.1,,,10.0,14.0,14.0,228.0,,,,,,3.0,,,,,,,,,,True,,,,,,,,
145,nbinteract,Create interactive webpages from Jupyter Notebooks.,https://github.com/SamLau95/nbinteract,,notebook-sharing,16,True,SamLau95/nbinteract,nbinteract,,https://github.com/SamLau95/nbinteract,2017-08-31 00:16:20.000000,2021-04-19 19:56:44.000000,2021-04-15 20:39:36.000000,22.0,27.0,41.0,195.0,590.0,,,,6829.0,,1.0,1.0,8.0,https://pypi.org/project/nbinteract,6829.0,,,,3.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
146,JupyterLab Go-To-Definition,Navigate to variable's definition with a click in JupyterLab (or with a few key strokes).,https://github.com/krassowski/jupyterlab-go-to-definition,,lab-extensions,16,False,krassowski/jupyterlab-go-to-definition,,,https://github.com/krassowski/jupyterlab-go-to-definition,2018-12-22 01:18:42.000000,2020-03-16 22:19:05.000000,2020-03-16 22:19:04.000000,7.0,9.0,13.0,185.0,88.0,2019-07-05 21:26:30.000000,0.5.0,,7235.0,5.0,10.0,10.0,2.0,,,,,,2.0,,,,,,@krassowski/jupyterlab_go_to_definition,BSD-3-Clause,https://www.npmjs.com/package/@krassowski/jupyterlab_go_to_definition,7235.0,,,,,,,,,
147,JupyterLab Chart Editor,JupyterLab extension for Plotly's react-chart-editor.,https://github.com/plotly/jupyterlab-chart-editor,,lab-renderer,16,False,plotly/jupyterlab-chart-editor,,,https://github.com/plotly/jupyterlab-chart-editor,2018-01-23 18:18:38.000000,2021-03-10 20:57:44.000000,2021-03-10 20:56:11.000000,17.0,12.0,19.0,182.0,71.0,2021-03-10 20:57:44.000000,4.14.3,,3815.0,6.0,3.0,3.0,5.0,,,,,,2.0,,,,,,jupyterlab-chart-editor,,https://www.npmjs.com/package/jupyterlab-chart-editor,3815.0,,,,,,,,,
148,Jupyter Bokeh,An extension for rendering Bokeh content in JupyterLab notebooks.,https://github.com/bokeh/jupyter_bokeh,,lab-extensions,16,True,bokeh/jupyter_bokeh,jupyter-bokeh,,https://github.com/bokeh/jupyter_bokeh,2017-08-14 23:01:29.000000,2021-04-03 23:14:56.000000,2021-04-03 23:14:56.000000,27.0,6.0,67.0,170.0,,,,,63824.0,,,,14.0,https://pypi.org/project/jupyter-bokeh,8328.0,,,,2.0,,,,,,@bokeh/jupyter_bokeh,BSD-3-Clause,https://www.npmjs.com/package/@bokeh/jupyter_bokeh,55496.0,,,,,,,,,
149,ipytest,Pytest in IPython notebooks.,https://github.com/chmp/ipytest,,notebook-tools,16,True,chmp/ipytest,ipytest,,https://github.com/chmp/ipytest,2016-02-07 20:24:41.000000,2020-07-25 11:36:37.000000,2020-07-25 11:36:09.000000,10.0,3.0,36.0,141.0,127.0,,,,17309.0,,96.0,96.0,3.0,https://pypi.org/project/ipytest,17309.0,,,,3.0,,,,,,,MIT,,,,,,,,,,,
150,nb_conda,Conda environment and package access extension from within Jupyter.,https://github.com/Anaconda-Platform/nb_conda,,jupyter-extensions,16,True,Anaconda-Platform/nb_conda,,conda-forge/nb_conda,https://github.com/Anaconda-Platform/nb_conda,2015-12-09 23:12:58.000000,2021-02-08 11:04:25.512000,2020-09-11 21:06:00.000000,22.0,31.0,28.0,111.0,158.0,,,,4475.0,4.0,,,14.0,,,https://anaconda.org/conda-forge/nb_conda,2021-02-08 11:04:25.512000,255085.0,3.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
151,JupyterLab Spellchecker,Spellchecker for JupyterLab notebook markdown cells and file editor.,https://github.com/jupyterlab-contrib/spellchecker,,lab-extensions,16,True,ijmbarr/jupyterlab_spellchecker,,,https://github.com/jupyterlab-contrib/spellchecker,2018-04-02 07:47:30.000000,2021-04-13 16:44:32.000000,2021-04-13 16:44:32.000000,16.0,7.0,26.0,110.0,93.0,2021-03-19 19:48:47.000000,0.5.2,,3995.0,3.0,1.0,1.0,5.0,,,,,,2.0,,,,,,@ijmbarr/jupyterlab_spellchecker,BSD-3-Clause,https://www.npmjs.com/package/@ijmbarr/jupyterlab_spellchecker,3995.0,,,,,jupyterlab-contrib/spellchecker,,,,
152,Rsession Proxy,Jupyter extensions for running an RStudio rsession proxy.,https://github.com/jupyterhub/jupyter-rsession-proxy,,jupyter-extensions,16,True,jupyterhub/jupyter-rsession-proxy,jupyter-rsession-proxy,,https://github.com/jupyterhub/jupyter-rsession-proxy,2016-12-09 06:26:18.000000,2021-04-14 17:03:41.000000,2021-02-10 20:53:07.000000,49.0,22.0,34.0,71.0,182.0,,,,1040.0,,22.0,22.0,16.0,https://pypi.org/project/jupyter-rsession-proxy,1040.0,,,,3.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
153,SystemdSpawner,Spawn JupyterHub single-user notebook servers with systemd.,https://github.com/jupyterhub/systemdspawner,,hub-spawners,16,True,jupyterhub/systemdspawner,jupyterhub-systemdspawner,,https://github.com/jupyterhub/systemdspawner,2016-09-06 07:20:44.000000,2021-02-22 20:44:43.000000,2020-12-07 14:41:33.000000,35.0,22.0,24.0,66.0,144.0,,,,2317.0,,13.0,13.0,15.0,https://pypi.org/project/jupyterhub-systemdspawner,2317.0,,,,3.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
154,JupyterLab IFrame,JupyterLab iframe widget.,https://github.com/timkpaine/jupyterlab_iframe,,lab-extensions,16,True,timkpaine/jupyterlab_iframe,jupyterlab_iframe,,https://github.com/timkpaine/jupyterlab_iframe,2018-03-12 02:34:47.000000,2021-03-23 20:58:41.000000,2021-02-01 03:53:50.000000,11.0,4.0,55.0,66.0,,2021-01-16 23:58:04.000000,0.3.0,,2844.0,10.0,3.0,3.0,3.0,https://pypi.org/project/jupyterlab_iframe,707.0,,,,2.0,,,,,,jupyterlab_iframe,Apache-2.0,https://www.npmjs.com/package/jupyterlab_iframe,2137.0,,,,,,,,,
155,niwidgets,Neuroimaging widgets for jupyter notebooks.,https://github.com/nipy/niwidgets,,widgets,16,False,nipy/niwidgets,niwidgets,,https://github.com/nipy/niwidgets,2017-09-11 22:20:27.000000,2021-04-20 18:04:56.000000,2020-03-24 14:27:42.000000,31.0,16.0,17.0,64.0,242.0,,,,309.0,,22.0,22.0,16.0,https://pypi.org/project/niwidgets,309.0,,,,3.0,,,,,,,Apache-2.0,,,,,,,,,,,
156,mkdocs-jupyter,Use Jupyter Notebook in mkdocs.,https://github.com/danielfrg/mkdocs-jupyter,,notebook-sharing,16,True,danielfrg/mkdocs-jupyter,mkdocs-jupyter,,https://github.com/danielfrg/mkdocs-jupyter,2019-12-18 02:11:34.000000,2021-04-15 16:18:52.000000,2021-04-15 16:18:52.000000,6.0,5.0,16.0,46.0,86.0,,,,3868.0,,89.0,89.0,6.0,https://pypi.org/project/mkdocs-jupyter,3868.0,,,,3.0,,,,,,,Apache-2.0,,,,,,,,,,,
157,jupyter-archive,"A Jupyter/Jupyterlab extension to make, download and extract archive files.",https://github.com/jupyterlab-contrib/jupyter-archive,,jupyter-extensions,16,True,jupyterlab-contrib/jupyter-archive,,conda-forge/jupyter-archive,https://github.com/jupyterlab-contrib/jupyter-archive,2019-07-25 17:15:19.000000,2021-04-16 06:47:19.000000,2021-02-07 16:28:23.000000,6.0,2.0,23.0,36.0,162.0,2021-01-03 10:46:26.000000,3.0.0-post1,3251.0,878.0,15.0,,,6.0,,,https://anaconda.org/conda-forge/jupyter-archive,2021-01-03 14:04:18.363000,12572.0,3.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
158,SudoSpawner,Spawn JupyterHub single-user servers with sudo.,https://github.com/jupyterhub/sudospawner,,hub-spawners,16,True,jupyterhub/sudospawner,sudospawner,,https://github.com/jupyterhub/sudospawner,2014-11-24 23:21:36.000000,2021-04-22 13:11:57.000000,2021-04-15 12:32:23.000000,31.0,14.0,19.0,34.0,112.0,,,,1499.0,,32.0,32.0,14.0,https://pypi.org/project/sudospawner,1499.0,,,,3.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
159,First Use Authenticator,JupyterHub Authenticator that lets users set passwords when they first log in.,https://github.com/jupyterhub/firstuseauthenticator,,hub-auth,16,True,jupyterhub/firstuseauthenticator,jupyterhub-firstuseauthenticator,,https://github.com/jupyterhub/firstuseauthenticator,2016-10-25 03:09:14.000000,2020-10-28 21:57:40.000000,2020-10-28 21:57:33.000000,20.0,3.0,14.0,34.0,73.0,2019-01-24 17:18:45.000000,0.12,,5847.0,2.0,45.0,45.0,11.0,https://pypi.org/project/jupyterhub-firstuseauthenticator,5847.0,,,,2.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
160,ipyregulartable,"High performance, editable, stylable datagrids in jupyter and jupyterlab.",https://github.com/jpmorganchase/ipyregulartable,,widgets,16,True,jpmorganchase/ipyregulartable,ipyregulartable,,https://github.com/jpmorganchase/ipyregulartable,2020-06-15 21:45:08.000000,2021-04-19 02:52:34.000000,2021-03-18 22:22:39.000000,7.0,8.0,13.0,30.0,,,,,152489.0,5.0,7.0,7.0,4.0,https://pypi.org/project/ipyregulartable,155.0,,,,3.0,,,,,,@jupyter-widgets/jupyterlab-manager,Apache-2.0,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,152334.0,,-8.0,,,,,,,
